temperature,humidity,wind_speed,traffic_density,industrial_activity,AQI
16.83,55.57,13.02,8.0,80.47,146.15
26.52,,8.28,5.0,-2.49,95.86
17.32,76.64,11.32,10.0,57.18,169.68
20.88,58.43,8.94,3.0,52.98,147.57
19.14,52.3,12.66,9.0,53.72,119.75
20.74,80.14,9.06,9.0,68.81,143.84
21.23,50.18,8.26,8.0,37.79,115.42
21.16,69.44,9.88,3.0,26.98,96.31
30.83,59.12,5.98,3.0,22.31,87.4
17.27,32.38,9.58,10.0,31.85,90.92
26.54,76.93,11.09,10.0,63.75,170.08
33.53,18.63,12.61,3.0,60.1,76.64
21.41,30.24,10.75,6.0,67.67,96.55
19.97,67.91,5.7,2.0,40.8,89.09
23.39,67.91,14.06,9.0,41.69,117.59
33.26,50.44,14.31,2.0,83.07,167.81
26.36,62.22,10.34,10.0,70.4,141.68
,22.03,7.74,8.0,65.04,86.72
28.39,70.6,8.41,10.0,13.5,109.11
17.28,63.75,9.39,4.0,89.15,209.04
29.77,59.32,10.84,4.0,48.16,167.28
27.86,60.31,9.09,5.0,53.46,167.84
22.85,67.4,7.42,1.0,58.95,137.0
19.13,59.57,13.07,4.0,53.29,89.21
18.79,31.89,10.77,6.0,46.56,101.88
28.74,92.94,6.84,10.0,52.9,171.01
33.6,78.01,10.87,2.0,62.73,148.57
20.54,40.73,10.49,3.0,66.98,166.46
28.21,54.82,7.85,4.0,74.4,189.49
10.39,56.46,13.59,3.0,28.05,83.79
20.91,76.18,10.4,9.0,39.08,121.97
24.78,27.61,9.35,6.0,67.06,118.19
18.63,52.51,9.75,5.0,18.6,32.11
18.44,33.59,11.33,5.0,53.23,120.89
20.33,55.72,9.78,2.0,34.28,123.25
27.05,52.91,9.76,9.0,61.02,119.32
23.69,61.2,13.2,2.0,33.1,72.54
9.33,50.93,5.74,5.0,42.81,129.2
10.16,48.73,6.25,7.0,44.19,98.97
20.75,69.29,12.33,3.0,54.93,154.24
28.2,66.82,17.25,8.0,69.17,123.12
5.77,68.27,12.63,5.0,70.64,129.54
21.5,57.35,15.59,10.0,54.1,130.19
21.32,51.42,,3.0,27.81,76.34
34.72,58.22,8.09,3.0,101.59,187.94
22.3,67.52,11.37,3.0,48.3,109.68
27.68,27.35,12.86,3.0,55.47,110.48
25.99,65.91,6.07,4.0,54.85,168.48
10.09,64.64,9.36,10.0,57.08,148.22
30.38,60.93,9.92,1.0,33.06,83.32
26.51,57.76,7.96,3.0,58.77,170.82
28.56,21.51,8.31,10.0,86.43,157.51
52.48,53.4,12.53,10.0,9.82,112.81
10.41,86.84,11.41,5.0,50.65,103.43
37.07,60.19,12.4,8.0,27.57,131.69
22.99,55.39,11.01,8.0,69.78,137.46
27.01,60.25,7.38,9.0,72.82,157.54
24.68,65.32,11.27,9.0,47.45,139.06
22.03,69.88,7.14,6.0,51.22,90.74
21.01,56.57,9.06,10.0,32.38,114.88
27.31,66.37,6.89,7.0,2.84,75.09
14.38,85.15,8.17,4.0,44.6,171.9
30.25,75.09,10.27,3.0,45.73,140.21
22.09,95.1,8.63,3.0,50.86,131.79
17.09,50.15,7.35,2.0,-15.57,8.07
21.85,85.14,13.41,8.0,15.49,35.78
,48.14,9.64,7.0,20.34,147.39
21.25,65.3,8.42,8.0,51.66,76.12
27.51,,6.75,6.0,61.71,149.02
19.88,52.34,4.38,10.0,26.75,125.54
30.31,61.32,9.33,10.0,44.48,169.86
29.8,73.66,5.87,5.0,38.42,182.43
37.94,49.35,12.14,1.0,90.64,164.97
23.77,85.04,10.09,8.0,42.3,155.11
29.68,39.23,14.68,2.0,41.46,76.37
25.69,89.1,10.67,1.0,33.68,85.7
34.07,75.02,7.82,9.0,11.98,82.69
19.97,58.65,4.36,8.0,62.93,114.8
30.22,53.96,12.42,9.0,44.67,126.29
23.64,52.39,6.1,5.0,42.23,110.55
24.55,57.96,8.78,3.0,53.65,125.34
25.64,59.27,15.02,8.0,18.44,95.0
26.77,78.83,11.83,4.0,,191.91
24.19,89.53,11.17,1.0,13.59,114.0
26.5,62.99,12.83,9.0,85.53,221.94
36.05,47.32,12.72,4.0,49.7,95.69
31.9,51.81,14.74,2.0,42.27,52.25
31.08,57.25,8.19,10.0,63.42,144.88
21.81,44.55,8.87,3.0,43.07,97.75
18.78,42.32,7.23,6.0,68.64,151.61
31.69,91.46,9.9,9.0,56.16,193.8
31.13,64.54,9.6,6.0,64.26,131.35
35.31,47.5,4.74,4.0,70.8,133.03
20.77,72.25,8.04,1.0,46.51,165.33
23.39,42.32,14.32,2.0,,273.71
13.52,43.56,10.73,7.0,60.36,129.63
22.25,47.95,12.15,3.0,,149.27
31.98,84.82,9.64,2.0,42.65,146.98
21.73,56.21,4.34,6.0,77.31,169.17
,23.37,9.61,4.0,34.54,61.24
23.67,78.15,13.13,1.0,9.86,65.46
27.27,55.4,6.44,9.0,22.7,160.66
16.97,32.26,12.24,9.0,43.36,136.04
25.6,55.25,4.89,5.0,55.25,168.77
4.06,67.82,10.06,8.0,50.32,125.43
23.69,66.06,11.63,6.0,65.73,166.62
13.59,86.98,9.06,7.0,25.99,84.99
33.44,47.21,17.42,6.0,84.49,177.39
30.44,60.7,8.52,7.0,76.91,170.51
28.27,49.51,8.26,3.0,68.7,149.38
35.65,36.87,10.61,3.0,75.3,148.06
18.36,73.28,7.74,10.0,18.95,106.34
37.23,66.95,5.68,3.0,63.98,191.72
31.53,64.26,,10.0,64.81,214.18
23.34,66.4,,6.0,69.35,178.04
32.95,49.72,9.09,1.0,66.94,147.41
17.26,44.91,15.11,9.0,58.89,90.4
19.23,60.56,8.68,9.0,58.09,148.65
20.74,77.42,12.13,4.0,73.85,166.4
21.3,84.12,11.53,2.0,37.53,146.77
17.6,71.93,8.63,7.0,57.34,137.09
33.56,60.44,7.36,7.0,38.94,111.19
23.19,64.05,4.8,6.0,46.96,152.26
27.47,60.17,11.66,8.0,-3.45,87.77
21.01,44.61,13.59,3.0,32.59,84.67
12.26,60.37,5.23,2.0,41.27,143.87
26.89,39.98,8.89,10.0,41.54,83.0
11.61,58.14,8.0,1.0,43.33,123.55
24.52,84.54,11.65,3.0,26.3,84.29
15.42,72.34,9.01,8.0,43.35,314.28
38.91,46.15,13.97,8.0,71.71,186.34
31.38,58.91,8.85,7.0,44.03,144.09
25.74,47.48,6.29,2.0,75.96,120.64
33.85,59.06,8.59,3.0,74.65,136.6
19.08,75.62,8.92,7.0,38.26,180.89
28.8,69.8,11.58,8.0,61.39,131.17
26.4,97.26,8.88,9.0,23.74,155.06
26.85,77.89,11.32,6.0,28.92,167.26
33.91,63.06,7.63,10.0,52.23,161.56
30.13,70.16,9.12,3.0,60.17,128.99
27.02,56.96,7.64,9.0,82.27,141.94
13.42,43.09,7.46,5.0,46.74,122.27
18.28,79.59,13.82,4.0,53.51,112.84
24.14,75.13,7.85,9.0,51.96,161.1
25.65,56.38,8.96,10.0,85.87,161.54
17.09,64.11,13.13,2.0,76.85,140.02
41.88,78.61,12.25,10.0,57.69,160.65
35.61,72.7,14.92,4.0,65.88,153.7
29.21,38.05,11.45,6.0,56.99,106.31
25.5,63.65,8.2,6.0,71.5,179.46
23.51,57.49,16.17,10.0,67.24,170.96
18.34,76.7,11.75,5.0,43.96,124.1
25.54,75.47,9.54,10.0,51.99,167.13
26.8,79.78,10.17,7.0,53.24,137.63
16.31,43.23,10.54,5.0,53.04,77.51
27.34,48.24,9.29,6.0,39.84,126.55
23.91,76.71,5.87,1.0,56.74,184.83
11.65,51.13,14.88,8.0,39.82,49.47
18.98,37.18,9.93,5.0,38.3,93.6
22.1,67.99,10.55,5.0,47.63,147.3
38.21,51.79,16.23,10.0,55.39,143.91
28.9,86.85,7.95,6.0,74.51,186.63
15.65,64.44,11.97,6.0,64.2,149.79
28.4,62.4,7.62,8.0,72.2,203.22
14.17,54.46,10.96,4.0,85.45,144.43
32.58,83.86,10.6,4.0,38.29,183.84
21.7,65.38,12.37,3.0,64.22,113.92
24.34,53.87,13.62,9.0,65.02,169.56
34.28,48.09,8.26,8.0,55.12,149.35
,58.9,14.25,5.0,67.86,129.25
15.22,45.34,14.46,8.0,51.75,66.46
20.91,75.43,9.25,6.0,63.42,198.64
32.27,32.87,9.98,5.0,21.67,57.68
14.36,57.91,8.52,9.0,50.04,136.93
5.17,69.15,9.08,9.0,64.17,170.19
21.84,65.13,6.39,8.0,70.57,239.6
28.86,49.24,12.33,10.0,32.78,100.96
33.4,69.9,3.85,3.0,48.36,163.97
21.76,46.71,7.91,9.0,28.74,117.46
22.12,59.66,9.86,6.0,42.24,130.21
33.08,69.78,13.9,9.0,56.32,137.85
11.91,66.94,8.36,1.0,70.71,197.29
22.28,49.87,11.28,1.0,68.08,129.91
26.33,77.96,9.76,6.0,54.46,174.97
28.14,61.3,12.84,4.0,36.98,110.8
21.43,71.14,11.13,5.0,47.21,124.41
25.24,82.94,12.49,5.0,100.74,245.33
7.58,76.76,8.35,3.0,22.03,112.9
20.39,76.8,,9.0,25.85,78.26
28.17,62.89,11.1,1.0,53.5,146.94
,71.91,8.54,6.0,64.14,152.74
25.41,63.2,10.09,2.0,67.27,120.25
28.13,41.86,10.95,2.0,55.76,149.57
22.6,64.54,13.73,9.0,19.61,79.78
26.19,63.85,12.36,10.0,45.61,146.13
18.26,68.76,7.96,2.0,14.69,120.34
23.55,58.08,6.56,9.0,57.9,155.63
29.27,48.58,15.12,8.0,59.12,142.22
26.1,69.85,5.25,7.0,47.47,143.98
20.89,40.3,8.64,8.0,26.34,124.01
26.57,81.88,11.94,9.0,33.62,136.1
30.0,56.53,14.92,10.0,17.54,106.9
10.65,63.68,9.43,9.0,48.97,177.17
33.11,68.38,10.08,3.0,113.36,186.38
22.65,68.86,7.37,10.0,47.96,140.99
27.98,38.87,10.38,1.0,41.6,101.35
33.38,72.36,6.55,8.0,54.34,179.53
15.4,64.55,7.75,10.0,26.99,136.65
20.03,50.47,12.29,4.0,27.68,123.01
22.98,48.75,8.7,5.0,37.62,97.87
19.51,54.99,12.75,6.0,67.7,145.22
37.14,40.52,9.54,6.0,56.67,171.41
19.0,85.83,5.89,7.0,46.81,177.8
21.11,82.29,13.51,10.0,64.98,134.31
26.43,66.78,6.05,3.0,84.17,155.18
16.58,56.65,8.19,2.0,64.72,139.49
22.23,57.04,9.4,9.0,,131.8
27.22,71.37,13.02,2.0,12.33,105.78
22.67,86.37,8.42,9.0,15.11,106.13
,51.44,7.22,10.0,67.38,187.34
21.29,43.24,10.49,4.0,34.84,108.16
14.4,83.21,9.36,1.0,66.37,145.38
27.25,33.19,8.6,3.0,40.9,93.25
37.28,44.87,10.65,10.0,57.76,104.59
25.13,56.3,6.39,2.0,64.02,132.09
26.58,36.59,4.83,4.0,34.34,66.46
29.85,,16.42,2.0,66.46,123.14
16.11,72.85,10.31,10.0,36.81,179.54
36.92,51.38,10.52,6.0,35.96,115.27
26.42,79.19,7.65,10.0,66.42,151.47
36.42,81.74,12.69,1.0,62.64,184.67
19.87,58.3,8.4,5.0,59.2,161.12
37.73,53.24,,9.0,27.94,149.0
30.43,93.89,8.3,1.0,42.32,143.97
28.87,70.82,9.16,4.0,63.78,189.86
26.64,63.84,,2.0,95.67,176.74
23.26,80.45,9.4,2.0,86.22,224.63
33.4,64.53,8.07,5.0,40.64,168.36
25.98,52.42,7.78,2.0,36.82,119.89
11.23,61.2,9.11,5.0,84.6,145.85
17.18,75.58,5.06,1.0,62.01,194.47
23.7,30.12,4.13,5.0,40.64,104.12
27.17,55.68,10.29,3.0,52.53,148.14
24.6,80.75,10.34,2.0,25.01,142.01
33.53,52.32,12.64,4.0,70.18,141.24
11.34,83.19,9.23,1.0,78.0,241.65
26.01,81.22,6.42,3.0,80.8,209.17
12.27,59.02,4.18,1.0,72.52,155.83
30.32,51.47,7.33,8.0,,168.54
24.34,55.69,11.27,5.0,67.88,199.24
27.94,99.97,14.32,1.0,79.21,152.38
18.95,88.12,10.16,2.0,68.9,151.16
33.96,61.88,6.36,9.0,67.07,170.9
32.29,50.88,7.36,7.0,53.82,209.44
29.08,61.76,7.45,3.0,31.88,117.5
24.09,63.66,8.78,1.0,87.11,231.28
29.06,41.35,13.36,2.0,49.27,123.12
20.05,61.2,13.6,7.0,74.28,132.45
30.99,79.84,9.48,8.0,99.56,259.88
36.55,33.01,10.55,5.0,68.17,159.66
32.49,72.4,7.61,4.0,73.5,175.67
19.89,80.62,4.87,10.0,31.29,140.35
27.53,51.59,,4.0,35.45,80.11
15.95,85.41,3.03,5.0,75.3,197.29
29.01,49.64,4.49,7.0,39.01,158.59
28.15,66.62,15.39,7.0,23.17,86.48
11.91,55.4,10.05,4.0,16.78,90.35
,55.4,6.62,1.0,45.67,141.26
23.02,50.74,12.05,5.0,45.41,124.36
22.89,70.48,12.32,7.0,69.96,137.34
16.53,72.73,6.0,4.0,30.22,153.75
27.72,59.03,8.4,7.0,77.55,161.52
26.76,39.6,12.63,8.0,25.75,81.8
23.64,66.05,7.55,2.0,26.28,110.77
19.71,66.33,10.85,2.0,52.77,145.26
32.34,56.75,,5.0,51.06,142.49
36.59,88.01,2.82,3.0,61.59,227.74
21.62,36.54,8.98,4.0,26.49,218.95
20.71,26.74,10.78,1.0,57.06,85.31
28.44,49.04,4.62,4.0,16.44,135.56
,70.66,8.41,,6.1,90.84
24.02,44.16,13.13,4.0,86.56,166.35
30.18,45.29,7.89,3.0,70.93,142.66
11.63,74.27,5.55,2.0,49.93,136.28
34.23,66.94,13.39,4.0,9.55,134.18
25.51,65.66,11.33,8.0,40.84,108.4
22.12,71.72,9.79,3.0,58.98,135.2
24.38,53.62,9.7,6.0,40.8,120.8
24.74,54.32,13.08,2.0,81.23,179.38
12.88,72.15,10.88,1.0,62.58,134.85
35.46,39.83,11.94,7.0,31.54,72.4
25.29,27.86,7.92,6.0,18.08,54.58
28.1,53.5,4.25,10.0,67.49,179.25
31.66,73.96,11.87,4.0,66.82,156.71
17.85,63.83,13.3,7.0,65.12,217.31
28.31,72.86,,,83.71,347.9
23.13,29.76,12.66,2.0,59.15,150.41
30.93,64.73,8.99,4.0,51.88,170.42
10.11,69.81,9.73,9.0,65.29,183.65
24.31,39.74,15.26,8.0,74.7,187.11
20.78,72.93,9.13,6.0,63.75,182.92
28.03,58.33,8.95,1.0,50.63,126.97
28.29,106.07,4.39,7.0,69.37,288.63
20.05,27.34,12.07,1.0,51.92,122.52
20.01,80.54,7.87,8.0,40.24,198.21
24.23,54.09,10.44,3.0,52.43,188.34
18.72,35.74,9.05,9.0,43.62,79.47
30.89,52.1,8.66,5.0,48.28,126.54
22.42,64.16,9.65,6.0,33.08,127.34
4.65,75.56,9.88,4.0,69.98,187.26
22.38,85.83,13.53,6.0,54.28,403.02
17.73,81.33,14.56,9.0,64.21,175.96
13.58,45.52,11.95,7.0,59.65,172.4
16.34,76.95,13.81,2.0,31.96,137.47
25.77,65.87,12.56,6.0,76.46,200.86
34.3,50.18,11.48,9.0,45.5,137.89
27.19,56.82,14.37,8.0,42.78,141.56
20.75,49.35,6.07,1.0,54.29,155.43
28.19,60.56,7.95,5.0,54.68,188.98
21.79,49.06,7.54,6.0,102.01,181.29
20.14,44.58,9.1,9.0,61.93,175.17
16.92,67.19,12.06,4.0,40.29,91.6
12.74,69.43,6.65,1.0,87.96,181.58
22.27,57.19,11.51,6.0,17.4,117.48
26.11,80.51,8.24,9.0,40.36,147.62
24.32,56.09,8.96,6.0,38.89,137.9
22.09,55.46,10.6,7.0,49.91,123.86
18.38,69.91,15.04,10.0,56.92,174.87
29.26,58.01,7.86,4.0,58.71,169.35
15.78,61.27,9.76,2.0,58.34,152.9
30.43,22.19,6.77,3.0,62.6,170.7
17.98,60.25,7.83,1.0,48.8,155.64
19.73,32.59,6.74,2.0,75.79,173.31
14.73,41.69,10.73,7.0,17.76,303.31
21.49,39.97,11.28,9.0,-1.05,98.56
31.83,44.36,12.06,9.0,64.81,139.44
28.61,51.77,7.74,9.0,43.38,169.04
,52.7,11.52,1.0,84.35,196.45
28.65,69.96,10.34,7.0,70.85,226.21
17.27,63.34,9.83,7.0,61.78,136.87
22.68,31.48,6.28,9.0,40.26,110.89
19.54,61.25,10.46,9.0,63.52,167.67
34.31,64.77,10.55,1.0,42.07,181.14
,55.07,10.31,10.0,51.19,143.85
31.26,59.09,11.2,5.0,43.47,144.15
31.25,62.85,12.08,2.0,55.18,140.07
37.81,71.47,6.71,6.0,44.98,195.38
22.13,36.38,9.35,2.0,70.01,170.14
29.99,56.34,11.55,6.0,59.05,149.43
40.97,82.63,9.19,7.0,39.82,150.71
20.68,81.25,12.88,6.0,41.05,171.67
14.25,72.76,10.27,1.0,24.6,130.66
11.84,68.05,4.14,4.0,10.95,97.6
29.99,84.82,,3.0,68.66,211.98
11.82,88.77,9.65,5.0,42.88,178.18
22.39,58.06,4.69,7.0,25.65,165.8
28.06,45.46,9.24,3.0,58.89,174.74
26.3,55.95,,1.0,,127.69
27.98,106.45,12.26,9.0,48.61,177.62
26.56,36.46,9.89,6.0,24.16,152.76
33.95,52.94,7.23,6.0,62.98,166.75
18.33,38.81,12.43,4.0,51.76,79.57
20.26,61.87,11.38,1.0,59.99,126.26
19.59,41.96,9.29,9.0,41.45,80.56
30.81,58.37,6.26,10.0,54.94,211.09
31.3,30.75,7.47,7.0,20.89,149.87
28.16,69.26,7.43,10.0,95.49,244.71
33.28,78.34,12.24,7.0,58.3,145.32
16.75,,4.96,7.0,84.15,234.09
36.67,57.97,9.86,7.0,44.68,169.5
35.66,57.55,9.25,8.0,29.0,170.27
30.15,62.71,13.11,8.0,40.17,159.98
37.47,59.43,10.7,3.0,49.12,123.02
13.4,71.52,11.61,8.0,47.67,171.63
21.33,78.5,,4.0,87.23,181.5
19.85,47.79,6.31,7.0,32.89,111.63
30.05,55.36,9.02,5.0,37.9,167.51
17.65,73.52,12.33,4.0,64.26,198.52
30.3,38.67,12.32,4.0,18.27,68.12
34.59,30.44,,6.0,49.19,111.13
29.87,63.39,7.42,2.0,52.83,168.67
26.99,67.45,6.83,5.0,58.67,233.34
18.08,49.17,9.59,8.0,56.98,170.08
19.07,51.32,10.41,2.0,89.75,249.14
33.75,48.6,14.42,5.0,32.3,113.9
30.46,47.0,10.37,7.0,37.11,155.8
24.73,70.4,11.84,5.0,62.19,168.87
22.07,42.29,7.66,10.0,54.53,137.68
10.82,56.02,10.13,9.0,57.02,134.02
17.5,46.42,10.42,9.0,21.9,116.35
38.38,38.17,9.58,8.0,93.62,240.99
16.04,73.05,9.93,9.0,59.03,171.93
26.33,,10.38,2.0,18.36,139.65
32.05,62.83,11.44,3.0,62.23,219.4
16.22,37.38,13.51,4.0,27.93,113.16
26.29,48.87,3.2,5.0,68.58,197.21
31.57,71.34,13.34,10.0,23.69,120.06
25.09,98.81,4.87,2.0,70.12,259.2
45.08,30.36,10.93,10.0,25.58,89.52
13.32,56.98,17.07,,30.51,117.08
32.41,66.18,9.87,4.0,52.75,138.28
23.79,50.76,10.54,5.0,37.77,104.58
30.4,72.74,9.07,6.0,38.91,160.63
28.09,47.0,12.0,1.0,19.4,114.85
19.87,62.31,,6.0,43.4,171.46
26.6,52.17,7.97,9.0,67.68,185.94
11.99,78.29,9.66,3.0,87.57,201.4
29.22,49.85,6.64,2.0,66.55,157.33
27.09,54.72,9.64,8.0,63.7,195.33
29.47,74.19,8.74,2.0,16.23,145.17
32.41,44.58,10.41,8.0,49.42,156.53
27.57,61.03,7.87,10.0,36.97,164.28
26.04,32.66,9.36,4.0,19.79,135.19
18.83,43.68,10.03,9.0,24.56,137.54
20.01,65.73,10.24,4.0,63.36,139.9
33.31,45.14,10.82,1.0,38.85,150.48
35.05,51.83,9.48,8.0,20.5,160.14
23.33,67.4,7.64,1.0,37.27,126.89
25.32,51.31,10.25,5.0,55.79,181.63
18.67,72.34,9.46,7.0,36.51,227.3
33.21,63.23,13.07,3.0,25.8,137.31
29.66,,13.45,6.0,31.6,131.0
38.59,78.61,5.88,1.0,67.69,209.9
18.85,64.8,11.85,6.0,8.44,105.08
22.35,83.08,12.45,5.0,44.64,125.39
26.62,73.67,5.96,2.0,47.7,134.52
29.53,52.15,11.74,4.0,34.88,136.5
23.49,79.4,12.69,7.0,30.84,145.75
18.89,63.96,7.15,6.0,69.67,209.32
31.17,54.08,9.29,10.0,69.6,186.01
30.05,64.18,10.56,6.0,52.11,171.59
18.59,76.68,11.71,9.0,39.13,181.35
34.49,66.83,7.03,2.0,52.25,121.25
33.19,87.34,13.47,1.0,58.09,162.86
25.94,76.3,3.91,2.0,47.76,169.71
25.56,67.85,13.97,3.0,58.63,161.49
28.88,44.61,11.65,9.0,42.93,105.9
18.97,57.3,8.13,10.0,-13.03,60.71
25.21,61.07,12.59,9.0,46.13,308.72
9.93,70.45,6.86,5.0,63.7,196.12
31.14,69.56,10.34,7.0,50.61,106.06
14.07,62.54,10.72,3.0,56.87,153.25
35.52,61.81,10.71,10.0,44.57,164.27
22.69,70.81,7.48,2.0,46.14,142.29
23.52,47.12,8.51,6.0,53.42,153.77
20.61,85.43,10.38,6.0,88.87,241.06
22.98,29.29,7.82,5.0,66.85,176.59
34.93,81.83,10.81,1.0,64.2,200.03
7.59,59.32,8.16,10.0,54.1,181.34
33.94,75.04,13.0,2.0,23.37,134.04
27.37,65.46,14.69,7.0,74.51,133.25
16.55,65.19,9.11,10.0,68.15,189.45
17.47,68.31,12.76,2.0,57.32,130.38
36.73,72.14,9.36,5.0,49.12,183.27
18.38,55.07,7.19,10.0,60.92,175.05
16.93,75.52,8.72,4.0,45.38,159.23
32.96,43.73,10.26,10.0,64.56,156.79
27.37,59.92,,1.0,33.24,138.31
18.43,72.54,11.88,5.0,11.8,121.15
26.52,74.93,10.26,1.0,25.98,114.98
17.82,66.91,13.0,3.0,52.82,140.08
32.71,54.1,11.82,9.0,43.97,111.18
32.43,73.45,10.36,7.0,47.05,183.92
28.72,49.96,8.93,2.0,24.08,87.57
27.53,86.27,14.57,5.0,56.04,184.03
37.33,58.73,16.51,4.0,29.27,141.97
25.0,36.91,8.98,7.0,59.93,191.06
16.73,42.08,13.13,4.0,21.7,85.61
28.15,60.65,7.88,9.0,33.23,169.63
39.6,62.1,8.24,3.0,30.54,149.81
17.9,89.54,8.84,6.0,61.48,155.96
22.47,44.42,12.05,5.0,40.76,91.8
27.92,60.59,6.78,10.0,,212.31
24.62,44.11,14.65,8.0,72.81,198.91
18.12,52.61,12.81,1.0,85.6,130.87
32.85,85.26,11.98,10.0,54.62,207.24
41.24,42.95,9.12,2.0,27.96,133.98
26.37,68.81,12.49,7.0,75.02,180.36
,65.89,1.25,1.0,80.23,198.53
14.16,59.64,11.32,5.0,48.8,123.15
26.81,67.79,10.48,8.0,76.37,160.23
32.73,42.6,4.34,10.0,56.67,156.16
28.33,84.84,11.22,5.0,16.82,158.42
24.98,88.87,11.77,5.0,37.38,158.93
20.88,60.71,4.44,9.0,39.9,185.48
17.35,96.35,6.44,5.0,42.73,139.44
30.84,54.01,16.19,1.0,31.33,126.66
31.4,66.01,9.44,3.0,30.71,165.41
14.18,81.48,12.93,5.0,76.92,136.93
36.13,53.11,13.38,8.0,15.27,102.2
29.02,39.28,11.18,10.0,35.52,141.42
34.8,35.82,13.05,2.0,62.42,184.68
15.61,90.91,3.66,,38.85,149.66
15.44,52.06,,4.0,58.01,194.58
23.96,57.21,0.76,3.0,41.97,180.54
28.52,43.31,4.76,6.0,58.75,151.54
37.57,74.23,8.36,10.0,29.24,194.28
29.94,48.28,8.0,2.0,12.83,165.94
23.3,52.63,10.12,3.0,41.98,133.4
,64.49,9.94,2.0,14.24,101.13
33.61,44.04,10.4,10.0,48.66,136.07
18.25,57.32,10.52,8.0,27.27,175.96
36.4,81.03,11.0,2.0,27.51,135.98
23.01,66.42,7.12,5.0,79.44,189.23
36.13,61.96,7.83,4.0,55.47,168.66
29.75,63.22,9.89,1.0,19.28,108.95
24.04,54.16,9.94,7.0,49.03,145.27
21.36,89.94,6.75,6.0,47.14,174.38
22.61,47.82,13.24,10.0,8.63,78.92
28.0,63.16,12.17,1.0,56.95,170.03
25.54,61.73,7.42,9.0,69.06,236.84
20.84,75.13,9.37,4.0,41.54,138.97
23.84,76.55,16.03,1.0,44.16,116.89
25.55,59.52,10.48,8.0,38.86,161.01
10.1,64.36,11.19,1.0,57.71,325.61
28.21,64.93,8.17,2.0,45.01,202.97
18.14,25.92,9.06,5.0,45.81,160.87
,36.17,14.53,1.0,33.81,59.17
13.19,50.92,10.34,1.0,90.83,144.17
12.44,51.58,9.79,6.0,44.81,157.42
15.51,42.01,10.02,1.0,64.01,167.21
20.04,71.24,17.64,5.0,55.31,195.97
38.67,60.03,10.12,10.0,-1.19,124.57
21.32,56.78,7.51,5.0,,141.6
26.24,41.16,8.03,2.0,26.94,144.94
27.8,59.33,12.34,3.0,69.53,156.43
25.92,20.6,5.71,3.0,24.67,154.83
24.46,57.56,11.35,3.0,59.9,175.45
16.63,60.95,7.83,3.0,69.93,169.68
35.16,63.63,4.42,4.0,55.61,172.77
37.65,36.54,7.06,10.0,50.08,172.44
13.22,63.37,10.08,1.0,42.08,141.21
17.83,44.38,14.19,4.0,47.53,127.28
23.04,47.81,12.74,4.0,23.2,76.71
18.25,70.77,9.12,8.0,53.56,177.29
28.54,90.21,12.92,4.0,71.03,233.97
19.9,60.77,8.93,5.0,32.55,123.37
40.16,47.74,5.6,4.0,50.37,181.13
33.33,62.83,10.06,5.0,47.93,198.72
,74.09,5.48,3.0,56.25,211.15
32.19,69.31,12.37,3.0,39.27,125.58
,101.15,12.42,8.0,19.83,175.06
21.05,49.27,7.36,1.0,27.6,161.05
19.29,63.78,10.44,3.0,3.63,112.89
25.55,83.23,10.41,,65.52,230.92
31.03,82.29,12.62,10.0,57.95,403.55
25.97,30.75,6.26,6.0,49.71,121.9
13.96,59.95,11.8,8.0,36.06,184.2
19.38,82.27,6.05,6.0,46.76,220.24
24.48,103.36,12.33,4.0,49.43,189.18
24.47,70.56,13.19,3.0,39.57,182.7
38.81,54.48,7.99,4.0,40.34,158.2
15.3,44.86,13.66,8.0,76.19,172.53
28.54,93.28,5.28,9.0,24.98,161.19
35.42,,13.3,8.0,69.86,179.19
40.9,47.28,14.32,9.0,17.7,122.53
22.17,56.95,11.04,8.0,82.16,198.59
28.44,64.65,9.41,5.0,2.21,74.72
28.99,,10.94,5.0,59.31,194.65
26.37,46.51,8.19,1.0,36.83,149.02
24.31,50.79,17.87,8.0,46.66,145.26
28.05,35.21,8.24,2.0,47.3,149.58
7.27,75.6,13.95,6.0,62.11,185.35
29.77,54.88,7.78,6.0,10.77,125.15
25.88,66.99,14.79,10.0,49.38,176.6
23.44,81.33,16.04,4.0,53.7,185.24
39.33,63.3,11.16,9.0,36.77,150.58
20.28,58.31,10.86,3.0,47.78,121.82
22.18,62.91,7.13,8.0,36.72,438.12
38.94,60.95,6.77,2.0,61.1,198.8
19.18,78.69,10.89,5.0,57.28,197.74
,64.66,14.37,6.0,54.34,192.64
23.97,51.83,8.36,2.0,63.25,174.41
30.89,75.72,16.62,7.0,74.94,200.35
26.45,78.46,8.17,5.0,30.17,174.72
15.95,39.93,10.69,10.0,94.44,180.26
21.27,82.99,10.7,4.0,57.86,192.76
20.75,65.47,9.7,4.0,39.98,152.3
24.46,64.25,,2.0,95.99,262.69
27.98,75.1,8.14,9.0,41.7,170.81
27.93,51.5,10.6,1.0,25.78,124.46
12.57,74.31,9.71,1.0,39.8,148.57
32.45,54.35,11.91,4.0,38.84,84.01
26.77,37.88,12.27,3.0,71.7,154.53
34.69,45.03,9.28,9.0,47.74,164.88
28.11,68.51,7.11,7.0,52.0,167.31
32.71,45.82,14.64,2.0,51.27,142.09
28.27,84.15,5.93,4.0,73.32,263.48
